Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
2016,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"168,190.64",148.891,312.364,,,,,,,,,,,,,,,,,,25.896
2016,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"12,702.30",8.329,11.678,,,,,,,,,,,,,,,,,,0.947
2016,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"25,893.80",13.855,15.255,,,,,,,,,,,,,,,,,,0.289
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"5,275.60",2.693,2.779,,,,,,,,,,,,,,,,,,0.022
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"1,672.19",1.151,1.7,,,,,,,,,,,,,,,,,,0.013
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"9,154.54",5.027,5.888,,,,,,,,,,,,,,,,,,0.033
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,988.04",1.98,2.797,,,,,,,,,,,,,,,,,,0.05
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"1,717.43",29.069,36.713,,,,,,,,,,,,,,,,,,30.373
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,468.502,0.273,0.338,,,,,,,,,,,,,,,,,,0.001
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"15,042.92",15.417,26.731,,,,,,,,,,,,,,,,,,0.095
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,871.512,1.005,1.902,,,,,,,,,,,,,,,,,,0.004
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
2016,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"29,179.35",35.018,47.78,,,,,,,,,,,,,,,,,,1.593
2016,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"5,214.96",1.005,38.064,,,,,,,,,,,,,,,,,,0.074
2016,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"165,124.91",342.92,"3,038.66",,,,,,,,,,,,,,,,,,31.315
2016,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"2,153.85",3.435,224.075,,,,,,,,,,,,,,,,,,0.051
2016,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"2,406.29",6.456,17.458,,,,,,,,,,,,,,,,,,0.078
2016,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
2016,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"5,218.13",9.68,2.041,,,,,,,,,,,,,,,,,,2.452
