Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,CN
2018,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"165,773.40",4.82,1.04,22.5
2018,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"9,133.29",6.15,8.84,0.74
2018,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"34,998.51",19.85,23.52,0.13
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"5,540.98",4.45,5.26,0.01
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"1,605.88",0.99,1.34,0.01
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"9,320.13",4.95,5.5,0.03
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,381.84",1.35,1.6,0.02
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"1,841.60",38.62,48.77,12.59
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,504.68,0.3,0.37,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"11,190.44",35.03,48.84,0.08
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,823.29,0.95,1.8,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,0
2018,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"21,749.70",39.9,54.81,0.23
2018,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"7,545.64",1.45,55.08,0.11
2018,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"161,620.16",596.36,"1,086.60",29.14
2018,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"2,008.50",3.2,208.95,0.05
2018,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"2,019.48",5.38,14.55,0.09
2018,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,0
2018,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"4,824.92",10.57,2,2.38
2018,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"17,781.45","2,131.03",271.36,28.93
2018,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"10,506.07",39.86,22.38,0.25
